BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA5,PEOE_VSA9,SMR_VSA3,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,TPSA,EState_VSA11,VSA_EState2,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,Value
32.2347,7.8978205,0.2331306,0.0,0.0,10.023292,6.0311146,0.0,0.0,9.790967,14.760979,14.760979,4.794537,0.0,121.44,0.0,12.29377,0.0,0.0,0.0,5.47
32.133446,7.1700277,-0.19181405,18.116642,6.103966,0.0,12.145604,0.0,11.336786,12.30081,4.9839787,4.736863,13.171246,5.7495117,81.79,0.0,15.997989,0.0,2.0,0.0,8.52
79.91873,9.103002,0.09119169,0.0,0.0,5.90718,0.0,4.794537,0.0,5.538925,9.883888,5.3167887,0.0,0.0,34.03,0.0,13.259993,0.0,1.0,0.0,9.0
16.480124,6.119018,0.09500566,23.866154,5.783245,5.90718,0.0,9.589074,0.0,12.30081,15.200677,20.107304,5.6873865,11.499023,105.93,0.0,33.686214,0.0,1.0,0.0,5.2
16.537983,5.882497,-0.1517659,5.7495117,11.184071,5.879988,5.9693055,0.0,0.0,12.496022,5.1566634,9.473726,0.0,11.6295,81.79,0.0,11.496988,0.0,1.0,0.0,5.79
32.166794,8.009606,-0.13846979,16.256783,5.783245,0.0,5.9693055,14.383612,11.761885,12.30081,10.300767,15.3704405,5.6873865,5.7495117,130.76,0.0,43.781963,0.0,1.0,0.0,5.7
35.495693,6.302435,-0.13882403,11.499023,6.606882,5.90718,5.9693055,9.361637,0.0,12.626498,4.5670996,9.473726,0.0,11.499023,77.76,0.0,24.443514,0.0,1.0,0.0,6.48
35.495693,6.3040495,-0.27416274,11.499023,11.887212,0.0,12.331664,4.794537,13.171246,11.0801525,4.5670996,9.473726,13.171246,11.499023,77.76,0.0,25.116863,0.0,1.0,0.0,7.77
35.495693,6.3260093,-0.14497593,5.7495117,5.58302,0.0,11.7253685,4.5670996,0.0,10.539334,4.5670996,10.492926,0.0,5.7495117,81.67,0.0,24.231894,0.0,1.0,0.0,6.28
16.477093,5.694776,-0.13581695,11.509759,0.0,0.0,5.9693055,4.794537,0.0,35.796875,19.977848,4.736863,0.0,5.7495117,103.27,0.0,17.522764,0.0,2.0,0.0,8.3
32.133446,7.1700225,-0.14784554,11.509759,6.103966,0.0,5.9693055,0.0,11.336786,12.30081,4.9839787,4.736863,0.0,5.7495117,81.79,0.0,15.934271,0.0,2.0,0.0,7.72
16.49833,5.708683,-0.13647395,11.499023,0.0,0.0,5.9693055,4.794537,0.0,12.710849,0.0,9.473726,0.0,11.499023,55.76,0.0,10.784073,0.0,0.0,0.0,6.67
19.413198,5.9929194,-0.137996,0.0,0.0,5.90718,12.145604,4.794537,0.0,17.168743,9.883888,5.3167887,13.171246,0.0,71.33,0.0,24.737293,0.0,1.0,0.0,7.66
35.495693,6.33466,-0.15176351,17.248535,5.601051,5.90718,12.145604,4.794537,0.0,16.149536,5.3167887,14.790515,13.171246,17.248535,84.86,0.0,23.724962,0.0,0.0,0.0,7.82
32.16673,8.145595,-0.11857589,28.247986,0.0,5.2392116,0.0,14.905863,0.0,13.213764,5.3167887,19.527378,4.794537,22.998047,73.86,0.0,23.215216,1.0,0.0,1.0,6.89
35.495693,6.3166547,0.06970683,5.7495117,0.0,5.90718,5.9693055,4.794537,0.0,23.737722,9.883888,10.053652,0.0,5.7495117,80.56,0.0,24.82425,0.0,1.0,0.0,7.77
35.500107,7.924474,0.48066455,10.644996,5.7495117,10.023292,0.0,9.706074,0.0,31.974764,4.9839787,9.458958,5.6873865,11.499023,68.29,0.0,3.754582,0.0,1.0,0.0,7.68
35.495693,6.342603,0.09466012,5.8172207,0.0,11.81436,0.0,9.589074,0.0,16.149536,5.3167887,10.633577,10.077802,0.0,58.2,0.0,24.808035,0.0,0.0,0.0,7.03
16.365217,5.9491434,-0.13648115,0.0,0.0,11.81436,5.9693055,14.383612,0.0,0.0,9.799819,0.0,0.0,0.0,77.92,0.0,40.455128,0.0,0.0,0.0,4.25
19.413197,6.027552,-0.13712591,5.7495117,11.400883,5.90718,17.959282,14.678426,0.0,34.780262,19.60765,15.743395,17.965782,5.7495117,117.59,0.0,38.050983,1.0,2.0,1.0,5.16
